scenario,run,metric,adaptive_minus_baseline
C,119,recoveries,0.0
C,120,pdr_percent,0.28959700000000055
C,120,min_flow_pdr_percent,0.5803570000000065
C,120,delay_p50_ms,0.0
C,120,delay_p95_ms,0.0
C,120,goodput_kbps,1.183289000000002
C,120,normalized_overhead,0.0010780000000000026
C,120,recovery_seconds,-1.0
C,120,next_hop_changes,0.0
C,120,route_unavailable_samples,0.0
C,120,signal_transitions,0.0
C,120,failure_transitions,1.0
C,120,recoveries,0.0
